nid,name,path,ntype,weight,data,lasttime
896878412,LP_Collat_History_bkp,spEED.dbo.LP_Collat_History_bkp,tbl,1113272607,120487040 KB,NULL
1075807936,FnmaLoanPerformance,spEED.dbo.FnmaLoanPerformance,tbl,1072120666,248974280 KB,NULL
409820572,LP_Collat_History_Old,spEED.dbo.LP_Collat_History_Old,tbl,860746937,60822752 KB,NULL
1714677752,FhlLoanPerformance,spEED.dbo.FhlLoanPerformance,tbl,643288617,114362520 KB,NULL
1056878982,LP_Collat_History_Postpayoff_bkp,spEED.dbo.LP_Collat_History_Postpayoff_bkp,tbl,363941198,17952432 KB,NULL
379304561,IDSI_Prices,spEED.dbo.IDSI_Prices,tbl,269479482,18290208 KB,00:07.8
887374626,EDW_RMBS_DealLoanPerformance,spEED.dbo.EDW_RMBS_DealLoanPerformance,tbl,248918013,107385064 KB,42:08.1
903374683,EDW_RMBS_DealLoanInterestRate,spEED.dbo.EDW_RMBS_DealLoanInterestRate,tbl,248918013,104884072 KB,42:07.4
919374740,EDW_RMBS_DealLoanIdentifiers,spEED.dbo.EDW_RMBS_DealLoanIdentifiers,tbl,248918013,104718600 KB,40:27.1
951374854,EDW_RMBS_DealLoanCharacteristics,spEED.dbo.EDW_RMBS_DealLoanCharacteristics,tbl,248917932,221374040 KB,42:05.5
967374911,EDW_RMBS_DealLoanBorrower,spEED.dbo.EDW_RMBS_DealLoanBorrower,tbl,248917719,159434688 KB,42:05.1
935374797,EDW_RMBS_DealLoanCollateral,spEED.dbo.EDW_RMBS_DealLoanCollateral,tbl,248917513,171958480 KB,42:06.0
983374968,EDW_RMBS_DealLoan,spEED.dbo.EDW_RMBS_DealLoan,tbl,248909329,41887856 KB,42:04.8
1191427764,EDW_CMR_DealLoanPerformance,spEED.dbo.EDW_CMR_DealLoanPerformance,tbl,247237607,57693016 KB,NULL
1223427878,EDW_CMR_DealLoanLevelInformation,spEED.dbo.EDW_CMR_DealLoanLevelInformation,tbl,247237607,203369584 KB,NULL
1255427992,EDW_CMR_DealLoan,spEED.dbo.EDW_CMR_DealLoan,tbl,247237607,26510680 KB,NULL
533576939,BIDS_ImportErrors,spEED.dbo.BIDS_ImportErrors,tbl,245447761,92653824 KB,31:29.6
37952303,EDW_AUT_DealLoanLevelInformation,spEED.dbo.EDW_AUT_DealLoanLevelInformation,tbl,241516158,195689496 KB,56:38.9
37952303,EDW_AUT_DealLoanLevelInformation,spEED.dbo.EDW_AUT_DealLoanLevelInformation,tbl,241516158,195689496 KB,56:38.9
