nid,name,path,ntype,weight,data,lasttime,faculty
896878412,LP_Collat_History_bkp,spEED.dbo.LP_Collat_History_bkp,tbl,1113272607,120487040 KB,0,50
1075807936,FnmaLoanPerformance,spEED.dbo.FnmaLoanPerformance,tbl,1072120666,248974280 KB,0,14
409820572,LP_Collat_History_Old,spEED.dbo.LP_Collat_History_Old,tbl,860746937,60822752 KB,0,57
1714677752,FhlLoanPerformance,spEED.dbo.FhlLoanPerformance,tbl,643288617,114362520 KB,0,83
1056878982,LP_Collat_History_Postpayoff_bkp,spEED.dbo.LP_Collat_History_Postpayoff_bkp,tbl,363941198,17952432 KB,0,38
379304561,IDSI_Prices,spEED.dbo.IDSI_Prices,tbl,269479482,18290208 KB,00:07.8,95
887374626,EDW_RMBS_DealLoanPerformance,spEED.dbo.EDW_RMBS_DealLoanPerformance,tbl,248918013,107385064 KB,42:08.1,60
903374683,EDW_RMBS_DealLoanInterestRate,spEED.dbo.EDW_RMBS_DealLoanInterestRate,tbl,248918013,104884072 KB,42:07.4,97
919374740,EDW_RMBS_DealLoanIdentifiers,spEED.dbo.EDW_RMBS_DealLoanIdentifiers,tbl,248918013,104718600 KB,40:27.1,78
951374854,EDW_RMBS_DealLoanCharacteristics,spEED.dbo.EDW_RMBS_DealLoanCharacteristics,tbl,248917932,221374040 KB,42:05.5,98
967374911,EDW_RMBS_DealLoanBorrower,spEED.dbo.EDW_RMBS_DealLoanBorrower,tbl,248917719,159434688 KB,42:05.1,35
935374797,EDW_RMBS_DealLoanCollateral,spEED.dbo.EDW_RMBS_DealLoanCollateral,tbl,248917513,171958480 KB,42:06.0,39
983374968,EDW_RMBS_DealLoan,spEED.dbo.EDW_RMBS_DealLoan,tbl,248909329,41887856 KB,42:04.8,84
1191427764,EDW_CMR_DealLoanPerformance,spEED.dbo.EDW_CMR_DealLoanPerformance,tbl,247237607,57693016 KB,0,64
1223427878,EDW_CMR_DealLoanLevelInformation,spEED.dbo.EDW_CMR_DealLoanLevelInformation,tbl,247237607,203369584 KB,0,16
1255427992,EDW_CMR_DealLoan,spEED.dbo.EDW_CMR_DealLoan,tbl,247237607,26510680 KB,0,79
533576939,BIDS_ImportErrors,spEED.dbo.BIDS_ImportErrors,tbl,245447761,92653824 KB,31:29.6,54
37952303,EDW_AUT_DealLoanLevelInformation,spEED.dbo.EDW_AUT_DealLoanLevelInformation,tbl,241516158,195689496 KB,56:38.9,11
37952303,EDW_AUT_DealLoanLevelInformation,spEED.dbo.EDW_AUT_DealLoanLevelInformation,tbl,241516158,195689496 KB,56:38.9,37
37952303,EDW_AUT_DealLoanLevelInformation,spEED.dbo.EDW_AUT_DealLoanLevelInformation,tbl,241516158,195689496 KB,56:38.9,56
122847900,EDW_AUT_DealLoan,spEED.dbo.EDW_AUT_DealLoan,tbl,241516158,27541056 KB,56:38.9,31
1951554236,Costar_CompsHistorical_History,spEED.CMBS.Costar_CompsHistorical_History,tbl,198231727,34911432 KB,0,49
903426738,EDW_CRE_DealLoanLevelInformation,spEED.dbo.EDW_CRE_DealLoanLevelInformation,tbl,188747927,176355416 KB,0,12
935426852,EDW_CRE_DealLoan,spEED.dbo.EDW_CRE_DealLoan,tbl,188747927,19690680 KB,0,64
2031554521,CoStar_Tenant_History,spEED.CMBS.CoStar_Tenant_History,tbl,157933204,21172192 KB,0,17
1967554293,CoStar_Property_History,spEED.CMBS.CoStar_Property_History,tbl,152793757,36599576 KB,0,80
1194135695,Intex_Collat_History,spEED.dbo.Intex_Collat_History,tbl,152642068,96394736 KB,17:51.1,99
889822282,LP_Collat_History_Postpayoff_Old,spEED.dbo.LP_Collat_History_Postpayoff_Old,tbl,111167972,16511728 KB,0,89
2015554464,CoStar_PropertySpaceTrans_History,spEED.CMBS.CoStar_PropertySpaceTrans_History,tbl,110293606,15035304 KB,0,75
1935554179,CoStar_Comps_History,spEED.CMBS.CoStar_Comps_History,tbl,96909146,43616128 KB,0,49
1114135410,Intex_Collat_Loans,spEED.dbo.Intex_Collat_Loans,tbl,52139288,140420552 KB,33:00.1,43
1114135410,Intex_Collat_Loans,spEED.dbo.Intex_Collat_Loans,tbl,52139288,140420552 KB,33:00.1,18
1114135410,Intex_Collat_Loans,spEED.dbo.Intex_Collat_Loans,tbl,52139288,140420552 KB,33:00.1,69
1114135410,Intex_Collat_Loans,spEED.dbo.Intex_Collat_Loans,tbl,52139288,140420552 KB,33:00.1,27
1114135410,Intex_Collat_Loans,spEED.dbo.Intex_Collat_Loans,tbl,52139288,140420552 KB,33:00.1,61
1114135410,Intex_Collat_Loans,spEED.dbo.Intex_Collat_Loans,tbl,52139288,140420552 KB,33:00.1,75
1998734273,Speed_CDOToExplode,spEED.EURO.Speed_CDOToExplode,tbl,46245441,7501080 KB,02:00.4,88
1183343280,Speed_CDOToExplode,spEED.CDO.Speed_CDOToExplode,tbl,46245441,7501080 KB,02:00.4,54
1005884042,Costar_CompsHistorical,spEED.CMBS.Costar_CompsHistorical,tbl,45380943,8855600 KB,0,70
956230857,Intex_Tranche_History,spEED.dbo.Intex_Tranche_History,tbl,37463786,17588608 KB,37:29.4,98
956230857,Intex_Tranche_History,spEED.dbo.Intex_Tranche_History,tbl,37463786,17588608 KB,37:29.4,31
1694290187,Intex_Collat_History_CMBS,spEED.dbo.Intex_Collat_History_CMBS,tbl,29350905,20196968 KB,0,22
51023463,Compass_TimeSeries,spEED.CMBS.Compass_TimeSeries,tbl,28952616,3689872 KB,02:26.5,25
455373087,EDW_SME_DealLoanCollateralsCollateral,spEED.dbo.EDW_SME_DealLoanCollateralsCollateral,tbl,28773301,10015816 KB,0,47
768161932,ETL_OasysReconFeed,spEED.dbo.ETL_OasysReconFeed,tbl,28115575,45213408 KB,30:31.5,56
768161932,ETL_OasysReconFeed,spEED.dbo.ETL_OasysReconFeed,tbl,28115575,45213408 KB,30:31.5,48
243024147,PPR_SubmarketDataGenie,spEED.CMBS.PPR_SubmarketDataGenie,tbl,26110575,4758528 KB,0,11
457820743,LP_Collat_Raw_bkp,spEED.dbo.LP_Collat_Raw_bkp,tbl,25464606,16307200 KB,0,31
597785387,LP_COLLAT_bkp,spEED.dbo.LP_COLLAT_bkp,tbl,25464606,9675664 KB,0,92
1910662250,Intex_History_WL,spEED.dbo.Intex_History_WL,tbl,25066328,4187560 KB,0,39
912370665,tmp_lp_collat,spEED.dbo.tmp_lp_collat,tbl,24827939,14874104 KB,0,44
2084306585,LP_ProductID_LoanID_Mapping,spEED.dbo.LP_ProductID_LoanID_Mapping,tbl,23508269,724720 KB,0,40
995807651,FnmaLoanAcquisition,spEED.dbo.FnmaLoanAcquisition,tbl,23246965,3789216 KB,0,76
1698677695,FhlLoanAcquisition,spEED.dbo.FhlLoanAcquisition,tbl,22516808,3587464 KB,0,67
19023349,Compass_Summary,spEED.CMBS.Compass_Summary,tbl,21663773,3562864 KB,01:58.8,80
181015826,LP_ZipToIndexMapping_Tier12,spEED.dbo.LP_ZipToIndexMapping_Tier12,tbl,20146221,1400360 KB,0,95
165015769,LP_ZipToIndexMapping,spEED.dbo.LP_ZipToIndexMapping,tbl,20146221,1406544 KB,0,27
998450781,MP_Fhlmc_Loan,spEED.AGY.MP_Fhlmc_Loan,tbl,20135697,2684760 KB,54:57.5,28
818362230,Markit_IBOXX_Composite,spEED.dbo.Markit_IBOXX_Composite,tbl,19486503,3686800 KB,01:22.2,65
1995310318,MRMS_Prices,spEED.dbo.MRMS_Prices,tbl,18763505,3421696 KB,0,66
471373144,EDW_SME_DealLoanCollaterals,spEED.dbo.EDW_SME_DealLoanCollaterals,tbl,18292087,1925112 KB,0,39
487373201,EDW_SME_DealLoanCharacteristics,spEED.dbo.EDW_SME_DealLoanCharacteristics,tbl,18292087,6911976 KB,0,17
375372802,EDW_SME_DealLoanPerformance,spEED.dbo.EDW_SME_DealLoanPerformance,tbl,18292087,7228592 KB,0,44
391372859,EDW_SME_DealLoanObligor,spEED.dbo.EDW_SME_DealLoanObligor,tbl,18292087,9193696 KB,0,71
407372916,EDW_SME_DealLoanInterestRate,spEED.dbo.EDW_SME_DealLoanInterestRate,tbl,18292087,4921928 KB,0,74
423372973,EDW_SME_DealLoanIdentifiers,spEED.dbo.EDW_SME_DealLoanIdentifiers,tbl,18292087,6156808 KB,0,90
439373030,EDW_SME_DealLoanFinancials,spEED.dbo.EDW_SME_DealLoanFinancials,tbl,18292087,4792424 KB,0,77
